transliteration,character
a,ಅ
ā,ಆ
i,ಇ
ī,ಈ
u,ಉ
ū,ಊ
r̥u,ಋ
e,ಎ
ē,ಏ
ai,ಐ
o,ಒ
ō,ಓ
au,ಔ
aṁ,ಅಂ
aḥa,ಅಃ
ka,ಕ
kā,ಕಾ
ki,ಕಿ
kī,ಕೀ
ku,ಕು
kū,ಕೂ
kr̥u,ಕೃ
ke,ಕೆ
kē,ಕೇ
kai,ಕೈ
ko,ಕೊ
kō,ಕೋ
kau,ಕೌ
kaṁ,ಕಂ
kaḥa,ಕಃ
kha,ಖ
khā,ಖಾ
khi,ಖಿ
khī,ಖೀ
khu,ಖು
khū,ಖೂ
khr̥u,ಖೃ
khe,ಖೆ
khē,ಖೇ
khai,ಖೈ
kho,ಖೊ
khō,ಖೋ
khau,ಖೌ
khaṁ,ಖಂ
khaḥa,ಖಃ
ga,ಗ
gā,ಗಾ
gi,ಗಿ
gī,ಗೀ
gu,ಗು
gū,ಗೂ
gr̥u,ಗೃ
ge,ಗೆ
gē,ಗೇ
gai,ಗೈ
go,ಗೊ
gō,ಗೋ
gau,ಗೌ
gaṁ,ಗಂ
gaḥa,ಗಃ
gha,ಘ
ghā,ಘಾ
ghi,ಘಿ
ghī,ಘೀ
ghu,ಘು
ghū,ಘೂ
ghr̥u,ಘೃ
ghe,ಘೆ
ghē,ಘೇ
ghai,ಘೈ
gho,ಘೊ
ghō,ಘೋ
ghau,ಘೌ
ghaṁ,ಘಂ
ghaḥa,ಘಃ
ṅa,ಙ
ṅā,ಙಾ
ṅi,ಙಿ
ṅī,ಙೀ
ṅu,ಙು
ṅū,ಙೂ
ṅr̥u,ಙೃ
ṅe,ಙೆ
ṅē,ಙೇ
ṅai,ಙೈ
ṅo,ಙೊ
ṅō,ಙೋ
ṅau,ಙೌ
ṅaṁ,ಙಂ
ṅaḥa,ಙಃ
ca,ಚ
cā,ಚಾ
ci,ಚಿ
cī,ಚೀ
cu,ಚು
cū,ಚೂ
cr̥u,ಚೃ
ce,ಚೆ
cē,ಚೇ
cai,ಚೈ
co,ಚೊ
cō,ಚೋ
cau,ಚೌ
caṁ,ಚಂ
caḥa,ಚಃ
cha,ಛ
chā,ಛಾ
chi,ಛಿ
chī,ಛೀ
chu,ಛು
chū,ಛೂ
chr̥u,ಛೃ
che,ಛೆ
chē,ಛೇ
chai,ಛೈ
cho,ಛೊ
chō,ಛೋ
chau,ಛೌ
chaṁ,ಛಂ
chaḥa,ಛಃ
ja,ಜ
jā,ಜಾ
ji,ಜಿ
jī,ಜೀ
ju,ಜು
jū,ಜೂ
jr̥u,ಜೃ
je,ಜೆ
jē,ಜೇ
jai,ಜೈ
jo,ಜೊ
jō,ಜೋ
jau,ಜೌ
jaṁ,ಜಂ
jaḥa,ಜಃ
jha,ಝ
jhā,ಝಾ
jhi,ಝಿ
jhī,ಝೀ
jhu,ಝು
jhū,ಝೂ
jhr̥u,ಝೃ
jhe,ಝೆ
jhē,ಝೇ
jhai,ಝೈ
jho,ಝೊ
jhō,ಝೋ
jhau,ಝೌ
jhaṁ,ಝಂ
jhaḥa,ಝಃ
ña,ಞ
ñā,ಞಾ
ñi,ಞಿ
ñī,ಞೀ
ñu,ಞು
ñū,ಞೂ
ñr̥u,ಞೃ
ñe,ಞೆ
ñē,ಞೇ
ñai,ಞೈ
ño,ಞೊ
ñō,ಞೋ
ñau,ಞೌ
ñaṁ,ಞಂ
ñaḥa,ಞಃ
ṭa,ಟ
ṭā,ಟಾ
ṭi,ಟಿ
ṭī,ಟೀ
ṭu,ಟು
ṭū,ಟೂ
ṭr̥u,ಟೃ
ṭe,ಟೆ
ṭē,ಟೇ
ṭai,ಟೈ
ṭo,ಟೊ
ṭō,ಟೋ
ṭau,ಟೌ
ṭaṁ,ಟಂ
ṭaḥa,ಟಃ
ṭha,ಠ
ṭhā,ಠಾ
ṭhi,ಠಿ
ṭhī,ಠೀ
ṭhu,ಠು
ṭhū,ಠೂ
ṭhr̥u,ಠೃ
ṭhe,ಠೆ
ṭhē,ಠೇ
ṭhai,ಠೈ
ṭho,ಠೊ
ṭhō,ಠೋ
ṭhau,ಠೌ
ṭhaṁ,ಠಂ
ṭhaḥa,ಠಃ
